elect_dist,republican,democratic,green,libertarian,year
27066,224,392,6,12,2016
27067,211,405,16,8,2016
27068,247,360,10,5,2016
27069,0,0,0,0,2016
27070,0,0,0,0,2016
27071,0,0,0,0,2016
27072,0,0,0,0,2016
27073,0,0,0,0,2016
27074,0,0,0,0,2016
27075,0,0,0,0,2016
27076,0,0,0,0,2016
27077,0,0,0,0,2016
27078,0,0,0,0,2016
27079,95,296,2,4,2016
27080,123,305,12,4,2016
27081,228,352,5,6,2016
28001,60,360,5,4,2016
28002,66,233,0,2,2016
28003,160,458,4,15,2016
28004,80,229,3,3,2016
28005,47,193,6,2,2016
28006,148,226,14,9,2016
28007,82,200,5,1,2016
28008,78,50,1,4,2016
28009,126,288,6,8,2016
28010,166,339,8,5,2016
28011,149,366,7,7,2016
28012,94,323,8,7,2016
28013,13,10,2,0,2016
28014,145,336,8,5,2016
28015,302,339,9,18,2016
28016,425,283,3,10,2016
28017,324,324,8,11,2016
28018,282,496,20,15,2016
28019,224,549,12,13,2016
28020,144,601,10,21,2016
28021,263,506,12,10,2016
28022,194,565,14,21,2016
28023,123,633,9,6,2016
28024,91,322,5,7,2016
28025,139,551,18,17,2016
28026,49,284,5,7,2016
28027,79,268,8,2,2016
28028,192,576,7,12,2016
28029,113,442,6,10,2016
28030,99,431,10,8,2016
28031,157,603,12,12,2016
28032,135,274,4,0,2016
28033,9,9,0,0,2016
28034,21,61,0,0,2016
28035,200,530,8,9,2016
28036,129,570,14,12,2016
28037,158,412,14,10,2016
28038,184,586,8,9,2016
28039,195,599,11,15,2016
28040,195,504,9,16,2016
28041,231,487,12,18,2016
28042,152,587,19,15,2016
28043,167,414,12,5,2016
28044,197,524,11,18,2016
28045,249,404,7,11,2016
28046,229,419,12,11,2016
28047,206,605,8,15,2016
28048,160,476,8,3,2016
28049,143,307,9,5,2016
28050,186,409,13,8,2016
28051,215,379,10,8,2016
28052,199,124,1,6,2016
28053,226,259,2,3,2016
28054,64,179,5,5,2016
28055,46,118,1,2,2016
28056,147,425,15,6,2016
28057,124,272,11,8,2016
28058,123,290,8,3,2016
28059,9,55,1,0,2016
28060,198,491,13,3,2016
28061,204,355,7,7,2016
28062,243,416,5,11,2016
28063,253,390,13,12,2016
28064,273,409,9,12,2016
28065,239,496,14,11,2016
28066,235,488,14,15,2016
28067,244,410,13,10,2016
28068,223,387,15,8,2016
28069,150,258,6,14,2016
28070,388,382,7,13,2016
28071,465,336,24,21,2016
28072,312,312,10,15,2016
28073,302,375,10,7,2016
28074,399,360,4,7,2016
28075,387,327,11,8,2016
28076,458,259,4,13,2016
28077,448,294,12,10,2016
28078,211,359,16,12,2016
28079,0,0,0,0,2016
29001,39,423,1,6,2016
29002,53,543,2,1,2016
29003,54,554,4,1,2016
29004,68,612,8,5,2016
29005,18,312,3,2,2016
29006,51,493,5,2,2016
29007,15,50,1,0,2016
29008,54,290,5,1,2016
29009,91,592,4,0,2016
29010,110,610,0,4,2016
29011,58,270,3,1,2016
29012,26,685,9,1,2016
29013,55,497,3,1,2016
29014,19,522,7,2,2016
29015,50,484,6,2,2016
29016,68,432,6,3,2016
29017,51,545,5,0,2016
29018,17,525,9,3,2016
29019,24,511,2,3,2016
29020,11,637,7,2,2016
29021,16,712,7,4,2016
29022,12,644,8,3,2016
29023,23,590,3,3,2016
29024,16,623,14,2,2016
29025,14,634,13,4,2016
29026,30,691,11,8,2016
29027,14,702,6,2,2016
29028,18,755,5,3,2016
29029,21,739,9,3,2016
29030,13,582,6,2,2016
29031,20,720,8,4,2016
29032,8,739,8,1,2016
29033,14,731,6,4,2016
29034,15,700,7,1,2016
29035,14,510,5,1,2016
29036,69,579,3,4,2016
29037,68,595,10,1,2016
29038,52,687,7,7,2016
29039,60,507,7,3,2016
29040,7,367,4,1,2016
29041,10,534,4,3,2016
29042,26,691,4,6,2016
29043,38,633,9,0,2016
29044,19,580,6,5,2016
29045,40,681,7,4,2016
29046,39,680,3,2,2016
29047,35,673,3,1,2016
29048,25,462,8,2,2016
29049,30,549,6,4,2016
29050,26,701,9,0,2016
29051,16,768,8,2,2016
29052,10,680,7,2,2016
29053,9,491,6,5,2016
29054,15,708,11,3,2016
29055,17,738,3,1,2016
29056,17,634,5,2,2016
29057,18,595,10,1,2016
29058,11,607,2,2,2016
29059,15,704,7,2,2016
29060,23,748,10,3,2016
29061,13,718,5,4,2016
